theme,theme_group,symbol,name,reason,seed_rank,seed_weight,source_note,source,notes
advanced_packaging_chiplet_pcb,professional_hot,600584,JCET,advanced packaging,1,1.0,curated_public_hot_seed,curated_public_hot_seed,advanced packaging
advanced_packaging_chiplet_pcb,professional_hot,002156,Tongfu Microelectronics,advanced packaging,2,0.5,curated_public_hot_seed,curated_public_hot_seed,advanced packaging
advanced_packaging_chiplet_pcb,professional_hot,002463,WUS Printed Circuit,AI server PCB,3,0.3333333333333333,curated_public_hot_seed,curated_public_hot_seed,AI server PCB
advanced_packaging_chiplet_pcb,professional_hot,002916,Shennan Circuits,IC substrate and PCB,4,0.25,curated_public_hot_seed,curated_public_hot_seed,IC substrate and PCB
advanced_packaging_chiplet_pcb,professional_hot,002938,Avary Holding,high-end PCB,5,0.2,curated_public_hot_seed,curated_public_hot_seed,high-end PCB
advanced_packaging_chiplet_pcb,professional_hot,300476,Victory Giant,AI server PCB,6,0.16666666666666666,curated_public_hot_seed,curated_public_hot_seed,AI server PCB
advanced_packaging_chiplet_pcb,professional_hot,603228,Kinwong,high-end PCB,7,0.14285714285714285,curated_public_hot_seed,curated_public_hot_seed,high-end PCB
advanced_packaging_chiplet_pcb,professional_hot,688183,Shengyi Electronics,server PCB,8,0.125,curated_public_hot_seed,curated_public_hot_seed,server PCB
advanced_packaging_chiplet_pcb,professional_hot,600183,Shengyi Technology,copper clad laminate,9,0.1111111111111111,curated_public_hot_seed,curated_public_hot_seed,copper clad laminate
central_soe_high_dividend,professional_hot,600900,Yangtze Power,hydropower dividend,1,1.0,curated_public_hot_seed,curated_public_hot_seed,hydropower dividend
central_soe_high_dividend,professional_hot,601088,China Shenhua,coal dividend,2,0.5,curated_public_hot_seed,curated_public_hot_seed,coal dividend
central_soe_high_dividend,professional_hot,600028,Sinopec,oil dividend,3,0.3333333333333333,curated_public_hot_seed,curated_public_hot_seed,oil dividend
central_soe_high_dividend,professional_hot,601857,PetroChina,oil dividend,4,0.25,curated_public_hot_seed,curated_public_hot_seed,oil dividend
central_soe_high_dividend,professional_hot,600938,CNOOC,oil dividend,5,0.2,curated_public_hot_seed,curated_public_hot_seed,oil dividend
central_soe_high_dividend,professional_hot,600941,China Mobile,telecom dividend,6,0.16666666666666666,curated_public_hot_seed,curated_public_hot_seed,telecom dividend
central_soe_high_dividend,professional_hot,601728,China Telecom,telecom dividend,7,0.14285714285714285,curated_public_hot_seed,curated_public_hot_seed,telecom dividend
central_soe_high_dividend,professional_hot,601816,Beijing-Shanghai High Speed Railway,transport dividend,8,0.125,curated_public_hot_seed,curated_public_hot_seed,transport dividend
central_soe_high_dividend,professional_hot,601398,ICBC,bank dividend,9,0.1111111111111111,curated_public_hot_seed,curated_public_hot_seed,bank dividend
central_soe_high_dividend,professional_hot,601939,China Construction Bank,bank dividend,10,0.1,curated_public_hot_seed,curated_public_hot_seed,bank dividend
central_soe_high_dividend,professional_hot,601288,Agricultural Bank of China,bank dividend,11,0.09090909090909091,curated_public_hot_seed,curated_public_hot_seed,bank dividend
central_soe_high_dividend,professional_hot,601988,Bank of China,bank dividend,12,0.08333333333333333,curated_public_hot_seed,curated_public_hot_seed,bank dividend
commercial_space_satellite_internet,professional_hot,600118,China Satellite,satellite platform,1,1.0,curated_public_hot_seed,curated_public_hot_seed,satellite platform
commercial_space_satellite_internet,professional_hot,688066,PIESAT,satellite remote sensing,2,0.5,curated_public_hot_seed,curated_public_hot_seed,satellite remote sensing
commercial_space_satellite_internet,professional_hot,688568,Geovis Technology,satellite data,3,0.3333333333333333,curated_public_hot_seed,curated_public_hot_seed,satellite data
commercial_space_satellite_internet,professional_hot,002151,BDS Navigation,Beidou navigation,4,0.25,curated_public_hot_seed,curated_public_hot_seed,Beidou navigation
commercial_space_satellite_internet,professional_hot,300627,Huace Navigation,precision navigation,5,0.2,curated_public_hot_seed,curated_public_hot_seed,precision navigation
commercial_space_satellite_internet,professional_hot,002465,Haige Communications,satellite communication,6,0.16666666666666666,curated_public_hot_seed,curated_public_hot_seed,satellite communication
commercial_space_satellite_internet,professional_hot,300045,Hwa Create,satellite navigation,7,0.14285714285714285,curated_public_hot_seed,curated_public_hot_seed,satellite navigation
commercial_space_satellite_internet,professional_hot,688239,Aerospace Nanhu,radar,8,0.125,curated_public_hot_seed,curated_public_hot_seed,radar
commercial_space_satellite_internet,professional_hot,688333,Xi'an Bright Laser,aerospace additive manufacturing,9,0.1111111111111111,curated_public_hot_seed,curated_public_hot_seed,aerospace additive manufacturing
