theme,theme_group,rows,unique_symbols,top_seed_weight
ai_compute_semiconductor,core_hot,42,41,1.0
defense_ship_equipment,core_hot,33,33,1.0
innovative_drug_medical_device,core_hot,34,34,1.0
metals_energy_metals,core_hot,41,41,1.0
power_solid_state_battery,core_hot,38,38,1.0
robotics_highend_manufacturing,core_hot,35,35,1.0
agriculture_food_beverage,expanded_hot,30,30,1.0
chemical_new_materials,expanded_hot,31,31,1.0
coal_power_oil_gas,expanded_hot,30,30,1.0
consumer_electronics_pcb,expanded_hot,34,34,1.0
datacenter_optical_liquid_cooling,expanded_hot,30,30,1.0
education_human_capital,expanded_hot,14,14,1.0
high_dividend_state_owned_finance,expanded_hot,49,49,1.0
home_appliance_export,expanded_hot,24,24,1.0
low_altitude_space_satellite,expanded_hot,25,25,1.0
media_game_ai_application,expanded_hot,28,28,1.0
real_estate_chain,expanded_hot,26,26,1.0
renewable_grid_storage,expanded_hot,38,38,1.0
shipping_ports_logistics,expanded_hot,25,25,1.0
smart_ev_autonomous_driving,expanded_hot,37,37,1.0
tourism_retail_services,expanded_hot,24,24,1.0
xinchuang_software_cybersecurity,expanded_hot,32,32,1.0
advanced_packaging_chiplet_pcb,professional_hot,9,9,1.0
central_soe_high_dividend,professional_hot,12,12,1.0
commercial_space_satellite_internet,professional_hot,10,10,1.0
cpo_optical_module_datacenter,professional_hot,10,10,1.0
cxo_biotech_innovative_drug,professional_hot,11,11,1.0
data_element_fintech_ai_app,professional_hot,11,11,1.0
humanoid_robot_core_parts,professional_hot,10,10,1.0
industrial_mother_machine_laser,professional_hot,10,10,1.0
medical_device_ivd_imaging,professional_hot,9,9,1.0
rare_earth_magnetic_materials,professional_hot,8,8,1.0
semiconductor_equipment_materials,professional_hot,14,14,1.0
shipbuilding_ocean_shipping,professional_hot,10,10,1.0
solid_state_battery_materials,professional_hot,11,11,1.0
uhv_smart_grid_power_equipment,professional_hot,10,10,1.0
