source,source_url,published_at,symbol,related_symbols,title,summary,quality_flag
sample_announcement,,2025-12-31,000001,000001,公告: 000001 发布经营进展公告，订单合同和产能信息需要继续跟踪。,000001 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_fallback
sample_industry_news,,2025-12-28,000001,000001,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_fallback
sample_risk_news,,2025-12-25,000001,000001,风险: 000001 出现舆情风险提示，需降低事件置信度。,000001 出现舆情风险提示，需降低事件置信度。,sample_fallback
sample_announcement,,2025-12-30,600519,600519,公告: 600519 发布经营进展公告，订单合同和产能信息需要继续跟踪。,600519 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_fallback
sample_industry_news,,2025-12-27,600519,600519,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_fallback
sample_risk_news,,2025-12-24,600519,600519,风险: 600519 出现舆情风险提示，需降低事件置信度。,600519 出现舆情风险提示，需降低事件置信度。,sample_fallback
sample_announcement,,2025-12-29,000858,000858,公告: 000858 发布经营进展公告，订单合同和产能信息需要继续跟踪。,000858 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_fallback
sample_industry_news,,2025-12-26,000858,000858,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_fallback
sample_risk_news,,2025-12-23,000858,000858,风险: 000858 出现舆情风险提示，需降低事件置信度。,000858 出现舆情风险提示，需降低事件置信度。,sample_fallback
sample_announcement,,2025-12-28,601318,601318,公告: 601318 发布经营进展公告，订单合同和产能信息需要继续跟踪。,601318 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_fallback
sample_industry_news,,2025-12-25,601318,601318,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_fallback
sample_risk_news,,2025-12-22,601318,601318,风险: 601318 出现舆情风险提示，需降低事件置信度。,601318 出现舆情风险提示，需降低事件置信度。,sample_fallback
sample_announcement,,2025-12-27,600036,600036,公告: 600036 发布经营进展公告，订单合同和产能信息需要继续跟踪。,600036 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_fallback
sample_industry_news,,2025-12-24,600036,600036,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_fallback
sample_risk_news,,2025-12-21,600036,600036,风险: 600036 出现舆情风险提示，需降低事件置信度。,600036 出现舆情风险提示，需降低事件置信度。,sample_fallback
sample_announcement,,2025-12-26,000333,000333,公告: 000333 发布经营进展公告，订单合同和产能信息需要继续跟踪。,000333 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_fallback
sample_industry_news,,2025-12-23,000333,000333,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_fallback
sample_risk_news,,2025-12-20,000333,000333,风险: 000333 出现舆情风险提示，需降低事件置信度。,000333 出现舆情风险提示，需降低事件置信度。,sample_fallback
sample_announcement,,2025-12-25,002594,002594,公告: 002594 发布经营进展公告，订单合同和产能信息需要继续跟踪。,002594 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_fallback
sample_industry_news,,2025-12-22,002594,002594,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_fallback
sample_risk_news,,2025-12-19,002594,002594,风险: 002594 出现舆情风险提示，需降低事件置信度。,002594 出现舆情风险提示，需降低事件置信度。,sample_fallback
sample_announcement,,2025-12-24,600900,600900,公告: 600900 发布经营进展公告，订单合同和产能信息需要继续跟踪。,600900 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_fallback
sample_industry_news,,2025-12-21,600900,600900,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_fallback
sample_risk_news,,2025-12-18,600900,600900,风险: 600900 出现舆情风险提示，需降低事件置信度。,600900 出现舆情风险提示，需降低事件置信度。,sample_fallback
sample_announcement,,2025-12-23,601888,601888,公告: 601888 发布经营进展公告，订单合同和产能信息需要继续跟踪。,601888 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_fallback
sample_industry_news,,2025-12-20,601888,601888,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_fallback
sample_risk_news,,2025-12-17,601888,601888,风险: 601888 出现舆情风险提示，需降低事件置信度。,601888 出现舆情风险提示，需降低事件置信度。,sample_fallback
sample_announcement,,2025-12-22,300750,300750,公告: 300750 发布经营进展公告，订单合同和产能信息需要继续跟踪。,300750 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_fallback
sample_industry_news,,2025-12-19,300750,300750,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_fallback
sample_risk_news,,2025-12-16,300750,300750,风险: 300750 出现舆情风险提示，需降低事件置信度。,300750 出现舆情风险提示，需降低事件置信度。,sample_fallback
