theme,theme_group,symbol,name,reason,seed_rank,seed_weight,source_note
advanced_packaging_chiplet_pcb,professional_hot,600584,JCET,advanced packaging,1,1.0,curated_public_hot_seed
advanced_packaging_chiplet_pcb,professional_hot,002156,Tongfu Microelectronics,advanced packaging,2,0.5,curated_public_hot_seed
advanced_packaging_chiplet_pcb,professional_hot,002463,WUS Printed Circuit,AI server PCB,3,0.3333333333333333,curated_public_hot_seed
advanced_packaging_chiplet_pcb,professional_hot,002916,Shennan Circuits,IC substrate and PCB,4,0.25,curated_public_hot_seed
advanced_packaging_chiplet_pcb,professional_hot,002938,Avary Holding,high-end PCB,5,0.2,curated_public_hot_seed
advanced_packaging_chiplet_pcb,professional_hot,300476,Victory Giant,AI server PCB,6,0.16666666666666666,curated_public_hot_seed
advanced_packaging_chiplet_pcb,professional_hot,603228,Kinwong,high-end PCB,7,0.14285714285714285,curated_public_hot_seed
advanced_packaging_chiplet_pcb,professional_hot,688183,Shengyi Electronics,server PCB,8,0.125,curated_public_hot_seed
advanced_packaging_chiplet_pcb,professional_hot,600183,Shengyi Technology,copper clad laminate,9,0.1111111111111111,curated_public_hot_seed
agriculture_food_beverage,expanded_hot,000876,New Hope,pig and feed,1,1.0,curated_public_hot_seed
agriculture_food_beverage,expanded_hot,002714,Muyuan Foods,pig farming,2,0.5,curated_public_hot_seed
agriculture_food_beverage,expanded_hot,300498,Wens Foodstuff,pig and poultry,3,0.3333333333333333,curated_public_hot_seed
agriculture_food_beverage,expanded_hot,002311,Haid Group,feed,4,0.25,curated_public_hot_seed
agriculture_food_beverage,expanded_hot,000998,Longping High-Tech,seed,5,0.2,curated_public_hot_seed
agriculture_food_beverage,expanded_hot,600313,Nongfa Seed,seed,6,0.16666666666666666,curated_public_hot_seed
agriculture_food_beverage,expanded_hot,600371,Wanxiang Doneed,seed,7,0.14285714285714285,curated_public_hot_seed
agriculture_food_beverage,expanded_hot,002385,Dabeinong,seed feed,8,0.125,curated_public_hot_seed
