symbol,name,theme_count,themes,reasons
000977,Inspur Information,4,ai_compute_semiconductor;cpo_optical_module_datacenter;datacenter_optical_liquid_cooling;xinchuang_software_cybersecurity,AI server;server
603019,Sugon,4,ai_compute_semiconductor;cpo_optical_module_datacenter;datacenter_optical_liquid_cooling;xinchuang_software_cybersecurity,HPC and server;HPC data center;data center server;HPC
000938,Unisplendour,3,ai_compute_semiconductor;datacenter_optical_liquid_cooling;xinchuang_software_cybersecurity,AI infrastructure;ICT infrastructure
000988,Huagong Tech,3,datacenter_optical_liquid_cooling;industrial_mother_machine_laser;robotics_highend_manufacturing,optical communication;laser equipment
002050,Sanhua Intelligent Controls,3,humanoid_robot_core_parts;robotics_highend_manufacturing;smart_ev_autonomous_driving,thermal and actuator component;thermal management actuator;thermal management
002151,BDS Navigation,3,commercial_space_satellite_internet;defense_ship_equipment;low_altitude_space_satellite,Beidou navigation;Beidou
002230,iFlytek,3,ai_compute_semiconductor;data_element_fintech_ai_app;xinchuang_software_cybersecurity,AI application platform;AI platform;AI application
002335,Kehua Data,3,datacenter_optical_liquid_cooling;renewable_grid_storage;uhv_smart_grid_power_equipment,UPS and data center;UPS and storage;UPS and power electronics
002463,WUS Printed Circuit,3,advanced_packaging_chiplet_pcb;consumer_electronics_pcb;datacenter_optical_liquid_cooling,AI server PCB;PCB
002465,Haige Communications,3,commercial_space_satellite_internet;defense_ship_equipment;low_altitude_space_satellite,satellite communication;military communication
002600,Lingyi iTech,3,consumer_electronics_pcb;rare_earth_magnetic_materials;robotics_highend_manufacturing,precision component;precision magnetic component;precision manufacturing
002709,Tinci Materials,3,power_solid_state_battery;smart_ev_autonomous_driving;solid_state_battery_materials,electrolyte;battery material
002916,Shennan Circuits,3,advanced_packaging_chiplet_pcb;consumer_electronics_pcb;datacenter_optical_liquid_cooling,IC substrate and PCB;PCB substrate;PCB and packaging substrate
002938,Avary Holding,3,advanced_packaging_chiplet_pcb;consumer_electronics_pcb;datacenter_optical_liquid_cooling,high-end PCB;PCB
300001,TGOOD,3,datacenter_optical_liquid_cooling;renewable_grid_storage;uhv_smart_grid_power_equipment,charging and power equipment;charging and grid;charging and grid equipment
300101,Zhenxin Technology,3,commercial_space_satellite_internet;defense_ship_equipment;low_altitude_space_satellite,navigation chip;Beidou chip
300124,Inovance,3,humanoid_robot_core_parts;robotics_highend_manufacturing;smart_ev_autonomous_driving,servo and control;industrial automation;EV drive
300207,Sunwoda,3,consumer_electronics_pcb;power_solid_state_battery;smart_ev_autonomous_driving,consumer battery;battery pack
300308,Zhongji Innolight,3,ai_compute_semiconductor;cpo_optical_module_datacenter;datacenter_optical_liquid_cooling,optical module;800G optical module;CPO optical module
300476,Victory Giant,3,advanced_packaging_chiplet_pcb;consumer_electronics_pcb;datacenter_optical_liquid_cooling,AI server PCB;PCB;server PCB
300502,Eoptolink,3,ai_compute_semiconductor;cpo_optical_module_datacenter;datacenter_optical_liquid_cooling,optical module;high-speed optical module
300627,Huace Navigation,3,commercial_space_satellite_internet;defense_ship_equipment;low_altitude_space_satellite,precision navigation
300699,Guangwei Composites,3,chemical_new_materials;defense_ship_equipment;low_altitude_space_satellite,carbon fiber
300750,CATL,3,power_solid_state_battery;smart_ev_autonomous_driving;solid_state_battery_materials,battery;power battery;solid-state battery leader watchlist
300777,Sinofibers Technology,3,chemical_new_materials;defense_ship_equipment;low_altitude_space_satellite,carbon fiber
600018,SIPG,3,high_dividend_state_owned_finance;shipbuilding_ocean_shipping;shipping_ports_logistics,port
600028,Sinopec,3,central_soe_high_dividend;coal_power_oil_gas;high_dividend_state_owned_finance,oil dividend;oil refining
600118,China Satellite,3,commercial_space_satellite_internet;defense_ship_equipment;low_altitude_space_satellite,satellite platform;satellite
600183,Shengyi Technology,3,advanced_packaging_chiplet_pcb;consumer_electronics_pcb;datacenter_optical_liquid_cooling,copper clad laminate;CCL
