symbol,name,theme_count,themes,reasons
603799,Huayou Cobalt,2,metals_energy_metals;power_solid_state_battery,cobalt nickel lithium material;battery metal
000157,Zoomlion,1,robotics_highend_manufacturing,construction machinery
000425,XCMG Machinery,1,robotics_highend_manufacturing,construction machinery
000426,Xingye Silver Tin,1,metals_energy_metals,silver tin
000547,Avic Industry-Finance,1,defense_ship_equipment,defense group finance
000630,Tongling Nonferrous,1,metals_energy_metals,copper
000661,Changchun High-Tech,1,innovative_drug_medical_device,biopharma
000733,Zhenhua Technology,1,defense_ship_equipment,military electronics
000737,North Copper,1,metals_energy_metals,copper
000738,Avicopter,1,defense_ship_equipment,helicopter
000768,AVIC Xian Aircraft,1,defense_ship_equipment,aircraft
000807,Yunnan Aluminum,1,metals_energy_metals,aluminum
000831,China Rare Earth,1,metals_energy_metals,rare earth
000878,Yunnan Copper,1,metals_energy_metals,copper
000901,Aerospace Hi-Tech,1,defense_ship_equipment,aerospace electronic
000933,Shenhuo,1,metals_energy_metals,coal aluminum
000938,Unisplendour,1,ai_compute_semiconductor,AI infrastructure
000960,Yunnan Tin,1,metals_energy_metals,tin
000963,Huadong Medicine,1,innovative_drug_medical_device,pharma and aesthetics
000975,Yintai Gold,1,metals_energy_metals,gold
000977,Inspur Information,1,ai_compute_semiconductor,AI server
000988,Huagong Tech,1,robotics_highend_manufacturing,laser equipment
002008,Han's Laser,1,robotics_highend_manufacturing,laser automation
002025,Aerospace Electric,1,defense_ship_equipment,connector
002049,Unigroup Guoxin,1,ai_compute_semiconductor,security and FPGA chip
002050,Sanhua Intelligent Controls,1,robotics_highend_manufacturing,thermal management actuator
002074,Gotion High-Tech,1,power_solid_state_battery,battery
002080,Sinoma Science,1,power_solid_state_battery,lithium separator
002151,BDS Navigation,1,defense_ship_equipment,Beidou navigation
002155,Hunan Gold,1,metals_energy_metals,gold antimony
002156,Tongfu Microelectronics,1,ai_compute_semiconductor,advanced packaging
002179,AVIC Optoelectronics,1,defense_ship_equipment,connectors
002182,Baowu Magnesium,1,metals_energy_metals,magnesium
002192,Rongjie,1,power_solid_state_battery,lithium mining
002203,Hailiang,1,metals_energy_metals,copper pipe
