factor_id,name,category,data_dependency,effective_lag,economic_rationale,direction,owner,tests,status,pit_rule,coverage,missing_ratio,ic_mean,rank_ic_mean,ic_ir,observations,quantile_monotonicity,year_count,yearly_positive_ratio,max_abs_correlation,max_corr_factor,vif_proxy,half_life_days,rank_turnover,gross_top_bottom_spread,estimated_cost_drag,cost_adjusted_spread,regime_count,regime_positive_ratio,worst_regime_rank_ic,regime_stability_note,leakage_suspect,crowding_flag,cost_drag_flag,regime_unstable_flag,trust_status,quarantine_reason
momentum_1,momentum_1,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.9942473633748802,0.005752636625119822,0.01954939439884451,0.01591128254580521,0.027917203834906156,1037,1.0,4,0.75,1.0,reversal_1,20.0,0.12190332648888833,0.29715017611271216,0.0011657855486547964,0.0004754402817803395,0.000690345266874457,3,0.6666666666666666,-0.0056060469056130845,bullish_sideways_bearish_from_pit_market_mean_return,False,True,False,False,watchlist,near_duplicate_factor:reversal_1;crowding_or_cost_watch
momentum_2,momentum_2,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.9932885906040269,0.006711409395973145,0.014797856006346286,0.025096525096525095,0.020814355826733515,1036,1.0,4,0.75,1.0,reversal_2,20.0,1.0238279709862002,0.20042735042735044,0.0025194984835446915,0.0003206837606837607,0.0021988147228609307,3,0.6666666666666666,-0.012153549849865955,bullish_sideways_bearish_from_pit_market_mean_return,False,True,False,False,watchlist,near_duplicate_factor:reversal_2;crowding_or_cost_watch
momentum_3,momentum_3,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.9923298178331735,0.007670182166826467,0.011524893917087354,0.01932367149758454,0.016146119265035005,1035,1.0,4,0.75,1.0,reversal_3,20.0,1.7246613250008278,0.17388514597369267,0.0007865014454588775,0.0002782162335579083,0.0005082852119009692,3,1.0,0.014899490951553808,bullish_sideways_bearish_from_pit_market_mean_return,False,True,False,False,watchlist,near_duplicate_factor:reversal_3;crowding_or_cost_watch
momentum_5,momentum_5,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.9904122722914669,0.009587727708533111,0.02748625789691764,0.03920619554695063,0.03888395508966991,1033,0.5,4,0.75,1.0,reversal_5,20.0,3.1987636600800053,0.13007607414550523,0.0019504900972790945,0.0002081217186328084,0.0017423683786462862,3,1.0,0.045532069562687724,bullish_sideways_bearish_from_pit_market_mean_return,False,True,False,False,watchlist,near_duplicate_factor:reversal_5;crowding_or_cost_watch
momentum_10,momentum_10,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.9856184084372004,0.014381591562799612,0.05624924678802109,0.047665369649805445,0.08075321866082215,1028,1.0,4,1.0,1.0,reversal_10,20.0,6.786218139919326,0.0921619293712317,0.0030642110235917894,0.00014745908699397074,0.002916751936597819,3,1.0,0.04700526246143465,bullish_sideways_bearish_from_pit_market_mean_return,False,True,False,False,watchlist,near_duplicate_factor:reversal_10;crowding_or_cost_watch
momentum_20,momentum_20,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.9760306807286673,0.023969319271332723,0.06891932598756607,0.061394891944990176,0.09686439024962548,1018,1.0,4,0.75,1.0,reversal_20,20.0,14.481849083599004,0.05675146771037182,0.0034315442821036676,9.080234833659491e-05,0.0033407419337670727,3,1.0,0.0578831097747971,bullish_sideways_bearish_from_pit_market_mean_return,False,True,False,False,watchlist,near_duplicate_factor:reversal_20;crowding_or_cost_watch
momentum_40,momentum_40,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.9568552253116012,0.043144774688398835,0.11708341282978164,0.1092184368737475,0.1688357733973723,998,0.5,4,1.0,0.9519681795395709,ma_bias_60,10.665917476227166,29.67325473061613,0.03592814371257485,0.008272644922113876,5.748502994011976e-05,0.008215159892173756,3,1.0,0.06523374238217532,bullish_sideways_bearish_from_pit_market_mean_return,False,True,False,False,watchlist,crowding_or_cost_watch
momentum_60,momentum_60,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.9376797698945349,0.06232023010546506,0.1114499030253953,0.10173824130879346,0.16136900163216036,978,0.5,4,0.75,0.9285156277788318,ma_bias_120,7.253802551843623,43.4846685835634,0.026476578411405296,0.008831727274560604,4.236252545824848e-05,0.008789364749102356,3,1.0,0.04534688106824037,bullish_sideways_bearish_from_pit_market_mean_return,False,False,False,False,approved,none
momentum_120,momentum_120,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.8801534036433365,0.1198465963566635,0.13194368270438225,0.10620915032679738,0.19169195163791816,918,0.5,4,0.75,0.9306756825487706,ma_bias_240,7.471453039778223,84.09639859739139,0.01277416244878284,0.010034918609844998,2.0438659918052542e-05,0.010014479949926946,3,1.0,0.04078961843240173,bullish_sideways_bearish_from_pit_market_mean_return,False,False,False,False,approved,none
momentum_240,momentum_240,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.7651006711409396,0.2348993288590604,0.11991951550387259,0.12343358395989974,0.1787479874556827,798,0.5,4,1.0,0.9204978023914323,breakdown_low_240,6.549483491743498,68.90126704069186,0.011360487669714602,0.009339335348674347,1.8176780271543364e-05,0.009321158568402804,3,1.0,0.022924961697006772,bullish_sideways_bearish_from_pit_market_mean_return,False,False,False,False,approved,none
