factor_id,name,category,data_dependency,effective_lag,economic_rationale,direction,owner,tests,status,pit_rule,coverage,missing_ratio,ic_mean,rank_ic_mean,ic_ir,observations,quantile_monotonicity,year_count,yearly_positive_ratio,max_abs_correlation,vif_proxy,half_life_days,rank_turnover,leakage_suspect,crowding_flag,trust_status,quarantine_reason
momentum_1,momentum_1,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.9942473633748802,0.005752636625119822,-0.0006795829719680718,-0.003383887086876479,-0.0020671668927174655,1037,-0.09999999999999999,4,0.25,1.0,20.0,0.15694351350557276,0.33191162343900094,False,True,watchlist,near_duplicate_factor;crowding_or_cost_watch
momentum_2,momentum_2,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.9932885906040269,0.006711409395973145,0.002360291584653673,-0.005007605007605007,0.007132922626237762,1036,-0.3,4,0.25,1.0,20.0,0.967911288092851,0.2354423076923077,False,True,watchlist,near_duplicate_factor;crowding_or_cost_watch
momentum_3,momentum_3,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.9923298178331735,0.007670182166826467,0.008587624549718785,0.0063299663299663305,0.025381668343139433,1035,0.39999999999999997,4,0.5,1.0,20.0,1.6680891487767013,0.19416746871992302,False,True,watchlist,near_duplicate_factor;crowding_or_cost_watch
momentum_5,momentum_5,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.9904122722914669,0.009587727708533111,0.024885416288008735,0.020563818240488134,0.07219229781595919,1033,0.8999999999999998,4,0.75,1.0,20.0,3.016371912652167,0.15205400192864033,False,True,watchlist,near_duplicate_factor;crowding_or_cost_watch
momentum_10,momentum_10,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.9856184084372004,0.014381591562799612,0.048287351643355236,0.03501945525291829,0.1469511292798005,1028,0.8999999999999998,4,1.0,1.0,20.0,6.337798952043264,0.11174418604651164,False,True,watchlist,near_duplicate_factor;crowding_or_cost_watch
momentum_20,momentum_20,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.9760306807286673,0.023969319271332723,0.07343278373624053,0.05659343930463773,0.22531947260882887,1018,0.9999999999999999,4,1.0,1.0,20.0,13.160857042814593,0.0765362035225049,False,True,watchlist,near_duplicate_factor;crowding_or_cost_watch
momentum_40,momentum_40,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.9568552253116012,0.043144774688398835,0.10048521376733029,0.0836096435294832,0.30075313654378844,998,0.9999999999999999,4,1.0,0.9524471889271708,10.770714374934075,26.989760443479828,0.05305389221556887,False,True,watchlist,crowding_or_cost_watch
momentum_60,momentum_60,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.9376797698945349,0.06232023010546506,0.08592179833724317,0.0777220053293673,0.25275771080755277,978,0.9999999999999999,4,1.0,0.9339309217959327,7.826377554544064,39.84735427583947,0.040488798370672104,False,False,approved,none
momentum_120,momentum_120,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.8801534036433365,0.1198465963566635,0.0654916617873703,0.06469928038555489,0.20388716475695157,918,0.8999999999999998,4,1.0,0.9316091441611694,7.569770431263495,72.16509001418291,0.026182212581344906,False,False,approved,none
momentum_240,momentum_240,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",candidate,computed only from current and historical rows; prediction must trade no earlier than next bar,0.7651006711409396,0.2348993288590604,0.02550123602498909,0.022601959444064706,0.07434166178498793,798,0.19999999999999998,4,0.75,0.8728821660186745,4.200326609687479,78.7177049489134,0.02022443890274314,False,False,approved,none
