source,domestic,installed,credential_ready,free_level,tables,frequencies,point_in_time,start_year_estimate,limitations,source_group,implementation_status,access_method,impact_domain,event_types,priority,gap_status,probe_supported,discovered_at,ready_for_event_factor,requires_followup
akshare,True,True,True,public_free,"daily_bar,minute_bar,industry,concept,moneyflow,northbound,dragon_tiger,announcement_proxy","daily,minute,spot",partial,varies_by_endpoint,public endpoints can fail or change schema; PIT metadata is incomplete,multi_source_data,implemented,akshare_adapter,"market,sector,capital_flow,news_proxy,commodity","market_data,news_proxy,moneyflow,dragon_tiger,commodity_shock",high,usable_with_limitations,False,2026-06-13T10:35:57,True,False
baostock,True,True,True,public_free,"daily_bar,adj_factor,st_flag,suspension_proxy,trade_calendar,index_member,financial",daily,partial,1990s_for_some_daily_data,requires login session; no full announcement text; minute data unavailable,market_data,implemented,baostock_adapter,"price_volume,financial,index_member","daily_bar,financial,st_flag,index_member",high,usable_with_limitations,False,2026-06-13T10:35:57,True,False
tushare_free,True,True,False,token_free_limited,"stock_basic,trade_calendar,daily_bar,financial,margin,index_member,delist",daily,partial,varies_by_permission,free quota and fields vary by token score; token required,multi_source_data,implemented_if_token_ready,tushare_adapter,"market,financial,margin,index","daily_bar,financial,margin,delist,index_member",high,credential_or_quota_limited,False,2026-06-13T10:35:57,False,True
cninfo,True,True,True,public_free,"announcement,annual_report,financial_report_pdf",event,announce_date_available,varies_by_issuer,PDF/HTML parsing is noisy; structured fields need extraction,announcement,implemented_via_public_event_bus,akshare_or_direct_public_endpoint,"company_announcement,earnings,governance,event_risk","announcement,annual_report,earnings_preannouncement,regulatory_inquiry,mna,lawsuit,repurchase",critical,usable_with_limitations,False,2026-06-13T10:35:57,True,False
cninfo_direct,True,True,True,public_free,"announcement_metadata,direct_source_url,announce_date",event,announce_date_available,varies_by_issuer,direct public endpoint can rate-limit or change schema; PDF body parsing is not yet implemented,announcement,implemented_metadata_text_optional,direct_http_public_endpoint,"company_announcement,earnings,governance,event_risk","announcement_metadata,announcement_text_optional",critical,usable_with_limitations,True,2026-06-13T10:35:57,True,False
eastmoney_public,True,True,True,public_free,"moneyflow,concept,sector,valuation_proxy,northbound_proxy","daily,spot",partial,varies_by_endpoint,unofficial endpoints can change; historical depth varies,news_capital_flow,partial_via_akshare_wrappers,public_page_or_akshare_wrapper,"moneyflow,sector_heat,concept_heat,stock_news","stock_news,moneyflow,concept_heat,dragon_tiger,northbound_proxy",critical,usable_with_limitations,False,2026-06-13T10:35:57,True,False
qmt_readonly,True,True,True,local_client_required,"quote,account,position,order,trade,reconcile","realtime,account_snapshot",runtime_snapshot,local_cache_or_broker,requires local MiniQMT/XtQuant and broker account; no live submit in this project,broker_readonly,readonly_adapter_live_blocked,local_xtquant_client,"realtime_quote,account,position,reconcile","quote,account_snapshot,position,order_query,trade_query",high,local_client_required,False,2026-06-13T10:35:57,False,True
sse_public,True,True,True,public_free,"announcement,regulatory_letter,abnormal_trading,public_trade_info","event,daily",published_at_or_announce_date_available,varies_by_public_site,official SSE index-page adapter implemented with bounded generic pagination and optional body text audit; site-specific pagination calibration and structured regulatory fields still need expansion,exchange_regulator,implemented_official_index_adapter,direct_public_web_index_adapter,"listed_company_event,regulatory_risk,market_microstructure","regulatory_letter,abnormal_volatility,announcement,public_trade_info",critical,index_adapter_limited_body_pagination,True,2026-06-13T10:35:57,True,True
szse_public,True,True,True,public_free,"announcement,regulatory_letter,abnormal_trading,public_trade_info","event,daily",published_at_or_announce_date_available,varies_by_public_site,official SZSE index-page adapter implemented with bounded generic pagination and optional body text audit; site-specific pagination calibration and structured regulatory-letter fields still need expansion,exchange_regulator,implemented_official_index_adapter,direct_public_web_index_adapter,"listed_company_event,regulatory_risk,market_microstructure","regulatory_letter,abnormal_volatility,announcement,public_trade_info",critical,index_adapter_limited_body_pagination,True,2026-06-13T10:35:57,True,True
bse_public,True,True,True,public_free,"announcement,regulatory_letter,abnormal_trading,public_trade_info","event,daily",published_at_or_announce_date_available,varies_by_public_site,official BSE index-page adapter implemented with bounded generic pagination and optional body text audit; site-specific pagination calibration still needs expansion,exchange_regulator,implemented_official_index_adapter,direct_public_web_index_adapter,"listed_company_event,regulatory_risk,market_microstructure","regulatory_letter,announcement,public_trade_info",medium,index_adapter_limited_body_pagination,True,2026-06-13T10:35:57,True,True
csrc_public,True,True,True,public_free,"regulatory_policy,penalty,ipo_refinancing,market_supervision","event,daily",published_at_or_announce_date_available,varies_by_public_site,official CSRC index-page adapter implemented with bounded generic pagination and optional body text audit; site-specific pagination calibration and penalty/policy field extraction still need expansion,regulator_policy,implemented_official_index_adapter,direct_public_web_index_adapter,"regulatory_policy,penalty,capital_market_risk","penalty,regulatory_policy,ipo_refinancing,supervision",critical,index_adapter_limited_body_pagination,True,2026-06-13T10:35:57,True,True
ndrc_public,True,True,True,public_free,"industrial_policy,price_policy,energy_policy","event,daily",published_at_or_announce_date_available,varies_by_public_site,official NDRC index-page adapter implemented with bounded generic pagination and optional body text audit; site-specific pagination calibration and PIT release calendar still need expansion,macro_policy,implemented_official_index_adapter,direct_public_web_index_adapter,"industry_policy,commodity_price,energy_chain","industry_policy,price_policy,energy_policy",high,index_adapter_limited_body_pagination,True,2026-06-13T10:35:57,True,True
miit_public,True,True,True,public_free,"industrial_policy,technology_policy,manufacturing_policy","event,daily",published_at_or_announce_date_available,varies_by_public_site,official MIIT index-page adapter implemented with bounded generic pagination and optional body text audit; site-specific pagination calibration and industry-policy fields still need expansion,macro_policy,implemented_official_index_adapter,direct_public_web_index_adapter,"semiconductor,robotics,ev,battery,software,manufacturing","industry_policy,production_guidance,technology_policy",high,index_adapter_limited_body_pagination,True,2026-06-13T10:35:57,True,True
mofcom_public,True,True,True,public_free,"trade_policy,export_control,consumption_policy","event,daily",published_at_or_announce_date_available,varies_by_public_site,official MOFCOM index-page adapter implemented with bounded generic pagination and optional body text audit; site-specific pagination calibration and trade-policy fields still need expansion,macro_policy,implemented_official_index_adapter,direct_public_web_index_adapter,"export_chain,trade_risk,consumer_sector","trade_policy,export_control,consumption_policy",high,index_adapter_limited_body_pagination,True,2026-06-13T10:35:57,True,True
pbc_public,True,True,True,public_free,"monetary_policy,liquidity,rates,credit","event,daily",published_at_or_announce_date_available,varies_by_public_site,official PBC index-page adapter implemented with bounded generic pagination and optional body text audit; site-specific pagination calibration and structured liquidity-operation fields still need expansion,macro_policy,implemented_official_index_adapter,direct_public_web_index_adapter,"market_liquidity,banking,real_estate,valuation_discount_rate","monetary_policy,liquidity_operation,rate_signal,credit_policy",high,index_adapter_limited_body_pagination,True,2026-06-13T10:35:57,True,True
customs_public,True,True,True,public_free,"import_export,commodity_trade,sector_trade","event,daily",published_at_or_announce_date_available,varies_by_public_site,official customs index-page adapter implemented with bounded generic pagination and optional body text audit; site-specific pagination calibration and monthly import/export PIT fields still need expansion,macro_policy,implemented_official_index_adapter,direct_public_web_index_adapter,"export_chain,commodity_supply_demand,metals_energy","import_export,commodity_trade,sector_trade",high,index_adapter_limited_body_pagination,True,2026-06-13T10:35:57,True,True
stats_nbs_public,True,True,True,public_free,"industrial_output,pmi,cpi,ppi,profit","event,daily",published_at_or_announce_date_available,varies_by_public_site,official NBS index-page adapter implemented with bounded generic pagination and optional body text audit; site-specific pagination calibration and release-calendar PIT treatment still need expansion,macro_policy,implemented_official_index_adapter,direct_public_web_index_adapter,"macro_cycle,industry_profit,commodity_demand","macro_indicator,industry_indicator",medium,index_adapter_limited_body_pagination,True,2026-06-13T10:35:57,True,True
sina_finance_public,True,True,True,public_free,"stock_news,market_news,quote_proxy","event,daily",published_at_or_announce_date_available,varies_by_public_site,direct Sina news adapter not yet implemented; available through some AKShare wrappers only,news_capital_flow,candidate_public_page_adapter,direct_public_web_pending_adapter,"stock_news,sector_sentiment,market_sentiment","stock_news,market_news",medium,pending_direct_adapter,True,2026-06-13T10:35:57,False,True
tencent_finance_public,True,True,True,public_free,"stock_news,market_news,quote_proxy","event,daily",published_at_or_announce_date_available,varies_by_public_site,direct Tencent finance adapter not yet implemented,news_capital_flow,candidate_public_page_adapter,direct_public_web_pending_adapter,"stock_news,sector_sentiment,market_sentiment","stock_news,market_news",medium,pending_direct_adapter,True,2026-06-13T10:35:57,False,True
netease_finance_public,True,True,True,public_free,"stock_news,market_news,quote_proxy","event,daily",published_at_or_announce_date_available,varies_by_public_site,direct NetEase finance adapter not yet implemented,news_capital_flow,candidate_public_page_adapter,direct_public_web_pending_adapter,"stock_news,sector_sentiment,market_sentiment","stock_news,market_news",medium,pending_direct_adapter,True,2026-06-13T10:35:57,False,True
shfe_public,True,True,True,public_free,"futures_price,inventory,warehouse_receipt,notice","daily,event",trade_date_or_published_at_available,varies_by_exchange,futures price shocks are implemented through AKShare/Sina; direct SHFE inventory/notices still need adapter,commodity_exchange,partial_via_akshare_sina_futures,public_exchange_page_pending_direct_adapter,"copper,aluminum,zinc,nickel,tin,gold,silver,energy_metals","commodity_price,inventory_change,exchange_notice",critical,partial_direct_exchange_gap,True,2026-06-13T10:35:57,True,False
ine_public,True,True,True,public_free,"crude_oil,energy_futures,inventory,notice","daily,event",trade_date_or_published_at_available,varies_by_exchange,energy futures price shocks are partially covered; direct INE inventory/notices still need adapter,commodity_exchange,partial_via_akshare_sina_futures,public_exchange_page_pending_direct_adapter,"oil_gas,chemical,shipping,energy_cost","commodity_price,inventory_change,exchange_notice",high,partial_direct_exchange_gap,True,2026-06-13T10:35:57,True,False
dce_public,True,True,True,public_free,"industrial_commodity,agriculture_futures,inventory,notice","daily,event",trade_date_or_published_at_available,varies_by_exchange,direct DCE adapter not yet implemented,commodity_exchange,candidate_direct_adapter,public_exchange_page_pending_direct_adapter,"chemical,coal_proxy,agriculture,materials","commodity_price,inventory_change,exchange_notice",medium,pending_direct_adapter,True,2026-06-13T10:35:57,False,True
czce_public,True,True,True,public_free,"chemical_agriculture_futures,inventory,notice","daily,event",trade_date_or_published_at_available,varies_by_exchange,direct CZCE adapter not yet implemented,commodity_exchange,candidate_direct_adapter,public_exchange_page_pending_direct_adapter,"chemical,agriculture,materials","commodity_price,inventory_change,exchange_notice",medium,pending_direct_adapter,True,2026-06-13T10:35:57,False,True
cffex_public,True,True,True,public_free,"index_futures,bond_futures,open_interest","daily,event",trade_date_or_published_at_available,varies_by_exchange,direct CFFEX adapter not yet implemented,commodity_exchange,candidate_direct_adapter,public_exchange_page_pending_direct_adapter,"market_risk,beta,hedging_pressure","index_futures,bond_futures,open_interest",medium,pending_direct_adapter,True,2026-06-13T10:35:57,False,True
gfex_public,True,True,True,public_free,"lithium_silicon_new_energy_futures,notice","daily,event",trade_date_or_published_at_available,varies_by_exchange,lithium/silicon futures shocks are partially covered through AKShare/Sina; direct GFEX notices still need adapter,commodity_exchange,partial_via_akshare_sina_futures,public_exchange_page_pending_direct_adapter,"battery,solar,new_energy_materials","commodity_price,exchange_notice",high,partial_direct_exchange_gap,True,2026-06-13T10:35:57,True,False
