tool_id,command,category,maturity,primary_module,output_artifacts,live_trading_allowed,risk_level,notes
stock_backtest,python run_mvp.py backtest-stock --symbol 601899,backtest,implemented,aquant_mvp.backtest.stock,"stock_forecast_backtest.csv, stock_forecast_metrics.csv",False,medium,Single-stock forecast backtest.
live_trade_blocker,python run_mvp.py live-trade --confirm,broker,safety_block,aquant_mvp.cli,no order artifact; exits non-zero,False,high,Live trading is intentionally blocked.
paper_trade,python run_mvp.py paper-trade --days 20 --no-live,broker,implemented,aquant_mvp.broker.paper,"order_plan.csv, risk_report.csv, paper_summary.json",False,medium,Paper trading and risk-check path.
qmt_readonly,python run_mvp.py qmt-readonly-sync,broker,implemented_readonly,aquant_mvp.broker.qmt,"qmt_readonly_status.csv, qmt_reconcile.csv",False,medium,QMT/XtQuant read-only status and reconcile path.
free_max_sync,python run_mvp.py sync-free-all --universe mega-hot,data,implemented,aquant_mvp.data.providers,"daily_bar warehouse table, source_audit, data_quality reports",False,medium,Free-source sync with per-symbol failure audit.
source_discovery,python run_mvp.py discover-sources --domestic-only,data,implemented,aquant_mvp.sources.discovery,"free_source_coverage.md, source_coverage.csv",False,low,Domestic/free source capability scan.
pit_audit,python run_mvp.py audit-data --strict-pit,data_quality,implemented,aquant_mvp.data.audit,"data_audit_summary.csv, data_audit_issues.csv",False,low,Point-in-time metadata and daily bar quality audit.
event_impact_study,"python run_mvp.py analyze-event-impact --universe 000630,601899,600362",explainability,implemented,aquant_mvp.events.impact,"event_impact_study_returns.csv, event_impact_study_cohorts.csv, event_impact_study_pit_priors.csv, event_impact_study.md",False,low,Historical event-outcome cohort and PIT-prior diagnostics for validating news/event factors; never a direct trading signal.
similar_event_evidence,"python run_mvp.py build-event-store --source sample --allow-sample --universe 000630,601899,600362",explainability,implemented,aquant_mvp.events.text_intelligence,"similar_events.csv/json/md, stock_similar_events.csv/json/md",False,low,PIT-safe similar-news/event retrieval for explanation evidence; never a direct trading signal.
stock_explain,python run_mvp.py explain-stock --symbol 601899,explainability,implemented,aquant_mvp.prediction.explain,"stock_explanation.csv, similar_history.csv, stock_explanation.md",False,low,"Factor, trend, risk and similar-history explanation."
feature_store,python run_mvp.py build-feature-store --point-in-time,features,implemented,aquant_mvp.features.store,"feature_store warehouse table, feature_store_summary.json",False,medium,PIT feature store builder with labels for selected horizons.
foundation_registry,python run_mvp.py discover-foundations,foundation,implemented,aquant_mvp.foundations.registry,"foundation_registry.csv, foundation_registry.md",False,low,External quant/model/data/broker base availability scan.
text_intelligence_registry,python run_mvp.py discover-text-intelligence,foundation,implemented,aquant_mvp.events.text_intelligence,"text_intelligence_registry.csv, text_intelligence_registry.md",False,low,"Optional news/text intelligence bases for embeddings, event classifiers, summarizers, and vector stores."
model_evaluation,python run_mvp.py evaluate-models --by-year --by-industry,model,implemented,aquant_mvp.cli,"model_evaluation.csv, evaluation_by_year.csv",False,low,Registry-level model evaluation summaries.
walk_forward_training,python run_mvp.py train-walk-forward --model ensemble,model,implemented,aquant_mvp.modeling.walk_forward,"walk_forward_predictions.csv, walk_forward_metrics.csv, model_registry.json",False,medium,Rolling sample-out validation and model registry.
stock_forecast,python run_mvp.py predict-stock --symbol 601899 --universe mega-hot,prediction,implemented,aquant_mvp.prediction.stock,"stock_forecast.csv, stock_forecast.json",False,medium,Probabilistic single-stock forecast with trust gating.
tool_registry,python run_mvp.py discover-tools,tooling,implemented,aquant_mvp.tooling.registry,"tool_registry.csv, tool_registry.md",False,low,Current CLI and module capability catalog.
mega_hot_universe,python run_mvp.py build-universe --themes mega-hot,universe,implemented,aquant_mvp.universe.themes,"theme_universe.csv, theme_universe_summary.csv, symbol_theme_membership.csv",False,low,Expanded hot and professional theme seed universe.
