foundation_id,category,role,priority,python_modules,package_hint,license_mode,integration_status,domestic_install_hint,notes,installed,installed_modules,missing_modules,credential_ready
backtrader,backtest_engine,event-driven strategy backtest and broker simulation,2,backtrader,backtrader,open_source,candidate_adapter,pip install backtrader -i https://pypi.tuna.tsinghua.edu.cn/simple,Useful for event-driven testing; current native engine remains the default for A-share rules.,True,backtrader,,True
vectorbt,backtest_engine,vectorized factor portfolio experiments,3,vectorbt,vectorbt,open_source,candidate_adapter,pip install vectorbt -i https://pypi.tuna.tsinghua.edu.cn/simple,Useful for fast research sweeps; execution realism still handled by native engine/QMT paper path.,True,vectorbt,,True
qmt_xtquant,broker_base,QMT/XtQuant read-only and future guarded execution,1,xtquant,xtquant,broker_authorized,read_only_supported_live_blocked,Install from the local QMT/MiniQMT client package.,Live order submission remains intentionally blocked by default.,False,,xtquant,False
pytorch,deep_learning_base,TabNet/TFT/graph model future base,6,torch,torch,open_source,future_candidate,pip install torch -i https://pypi.tuna.tsinghua.edu.cn/simple,Do not lead with deep models until PIT data and walk-forward proof are stable.,True,torch,,True
vnpy,execution_platform,multi-asset event engine and trading gateway ecosystem,4,vnpy,vnpy,open_source_plus_gateway_auth,candidate_adapter,pip install vnpy -i https://pypi.tuna.tsinghua.edu.cn/simple,Optional later path; QMT/XtQuant remains the default A-share personal execution route.,True,vnpy,,True
shap,explainability,tree model feature contribution and local explanation,2,shap,shap,open_source,candidate_explainer,pip install shap -i https://pypi.tuna.tsinghua.edu.cn/simple,Candidate upgrade for current z-score contributor explanation.,True,shap,,True
akshare,free_data,"public A-share quote, money-flow, sector and free data access",1,akshare,akshare,free_public,native_supported,pip install akshare -i https://pypi.tuna.tsinghua.edu.cn/simple,Primary free public data source; free endpoints can change without notice.,True,akshare,,True
baostock,free_data,"A-share daily bars, adjustment and stock list cross-check",1,baostock,baostock,free_public,native_supported,pip install baostock -i https://pypi.tuna.tsinghua.edu.cn/simple,Important free fallback and all-A discovery source.,True,baostock,,True
tushare_free,free_data,token-gated free data supplement,2,tushare,tushare,free_token_limited,native_supported,pip install tushare -i https://pypi.tuna.tsinghua.edu.cn/simple,Requires TUSHARE_TOKEN; free quota and fields are limited.,True,tushare,,False
lightgbm,model_base,gradient boosting classifier/regressor/ranker,1,lightgbm,lightgbm,open_source,native_supported,pip install lightgbm -i https://pypi.tuna.tsinghua.edu.cn/simple,Primary tabular model; current code auto-falls back when unavailable.,True,lightgbm,,True
scikit_learn,model_base,"linear/logistic baselines, calibration, metrics",1,sklearn,scikit-learn,open_source,candidate_model,pip install scikit-learn -i https://pypi.tuna.tsinghua.edu.cn/simple,Useful for probability calibration and transparent baselines.,True,sklearn,,True
xgboost,model_base,gradient boosting baseline and robustness comparison,2,xgboost,xgboost,open_source,candidate_model,pip install xgboost -i https://pypi.tuna.tsinghua.edu.cn/simple,Candidate challenger for LightGBM.,True,xgboost,,True
catboost,model_base,categorical-friendly gradient boosting baseline,3,catboost,catboost,open_source,candidate_model,pip install catboost -i https://pypi.tuna.tsinghua.edu.cn/simple,Candidate model for industry/theme categorical features.,True,catboost,,True
optuna,model_ops,walk-forward hyperparameter optimization,4,optuna,optuna,open_source,candidate_model_ops,pip install optuna -i https://pypi.tuna.tsinghua.edu.cn/simple,"Use after baseline stability, with strict time splits.",True,optuna,,True
ifind,paid_data,iFinD professional A-share data,5,iFinDPy,iFinDPy,paid_or_authorized,future_adapter,Use iFinD terminal installer and licensed Python SDK.,Institutional data route; depends on local iFinD authorization.,False,,iFinDPy,False
rqdata,paid_data,RiceQuant professional data supplement,5,rqdatac,rqdatac,paid_or_authorized,future_adapter,Follow RiceQuant official install docs or domestic package mirror.,Professional data route when authorized; not required for free mode.,False,,rqdatac,True
windpy,paid_data,Wind professional A-share data,5,WindPy,WindPy,paid_or_authorized,future_adapter,Use Wind terminal installer and licensed Python SDK.,Institutional data route; depends on local Wind authorization.,False,,WindPy,False
qlib,research_platform,"institution-style alpha research, dataset handler, model workflow",1,qlib,pyqlib,open_source,candidate_adapter,pip install pyqlib -i https://pypi.tuna.tsinghua.edu.cn/simple,"Good base for factor/model research, but A-share data still needs a local provider.",True,qlib,,True
rqalpha,research_platform,domestic event-driven backtest framework,5,rqalpha,rqalpha,open_source,candidate_adapter,pip install rqalpha -i https://pypi.tuna.tsinghua.edu.cn/simple,Useful as a domestic-style backtest comparison base.,True,rqalpha,,True
duckdb_parquet,storage_base,local analytical warehouse and parquet acceleration,1,"duckdb,pyarrow",duckdb pyarrow,open_source,native_supported,pip install duckdb pyarrow -i https://pypi.tuna.tsinghua.edu.cn/simple,Current warehouse falls back to CSV when parquet engine is unavailable.,True,"duckdb,pyarrow",,True
