symbol,name,theme_count,themes,reasons
000034,Digital China,1,data_element_fintech_ai_app,cloud data service
000831,China Rare Earth,1,rare_earth_magnetic_materials,rare earth oxide
000970,Zhongke Sanhuan,1,rare_earth_magnetic_materials,NdFeB magnet
000977,Inspur Information,1,cpo_optical_module_datacenter,AI server
000988,Huagong Tech,1,industrial_mother_machine_laser,laser equipment
001872,China Merchants Port,1,shipbuilding_ocean_shipping,port
002008,Han's Laser,1,industrial_mother_machine_laser,laser automation
002028,Sieyuan Electric,1,uhv_smart_grid_power_equipment,power equipment
002050,Sanhua Intelligent Controls,1,humanoid_robot_core_parts,thermal and actuator component
002056,Hengdian DMEGC,1,rare_earth_magnetic_materials,magnetic material
002151,BDS Navigation,1,commercial_space_satellite_internet,Beidou navigation
002156,Tongfu Microelectronics,1,advanced_packaging_chiplet_pcb,advanced packaging
002192,Rongjie,1,solid_state_battery_materials,lithium resource
002230,iFlytek,1,data_element_fintech_ai_app,AI platform
002281,Accelink,1,cpo_optical_module_datacenter,optical device
002335,Kehua Data,1,uhv_smart_grid_power_equipment,UPS and power electronics
002371,NAURA,1,semiconductor_equipment_materials,etching deposition and cleaning equipment
002463,WUS Printed Circuit,1,advanced_packaging_chiplet_pcb,AI server PCB
002465,Haige Communications,1,commercial_space_satellite_internet,satellite communication
002472,Shuanghuan Driveline,1,humanoid_robot_core_parts,gear transmission
002497,Yahua Group,1,solid_state_battery_materials,lithium salt
002527,Xinshida,1,humanoid_robot_core_parts,robot controller
002600,Lingyi iTech,1,rare_earth_magnetic_materials,precision magnetic component
002709,Tinci Materials,1,solid_state_battery_materials,electrolyte
002747,Estun,1,humanoid_robot_core_parts,robot body and servo
002821,Asymchem,1,cxo_biotech_innovative_drug,CDMO
002916,Shennan Circuits,1,advanced_packaging_chiplet_pcb,IC substrate and PCB
002938,Avary Holding,1,advanced_packaging_chiplet_pcb,high-end PCB
300001,TGOOD,1,uhv_smart_grid_power_equipment,charging and grid equipment
300003,Lepu Medical,1,medical_device_ivd_imaging,cardiovascular device
300033,Hithink RoyalFlush,1,data_element_fintech_ai_app,financial data
300045,Hwa Create,1,commercial_space_satellite_internet,satellite navigation
300059,East Money,1,data_element_fintech_ai_app,internet finance
300073,Dangsheng Technology,1,solid_state_battery_materials,cathode material
300101,Zhenxin Technology,1,commercial_space_satellite_internet,navigation chip
300124,Inovance,1,humanoid_robot_core_parts,servo and control
300161,Huazhong CNC,1,industrial_mother_machine_laser,CNC system
300188,Meiya Pico,1,data_element_fintech_ai_app,data security
300212,E-Hualu,1,data_element_fintech_ai_app,data asset
300224,Zhenghai Magnetic,1,rare_earth_magnetic_materials,rare earth magnet
300308,Zhongji Innolight,1,cpo_optical_module_datacenter,800G optical module
300347,Tigermed,1,cxo_biotech_innovative_drug,clinical CRO
300363,Porton Pharma,1,cxo_biotech_innovative_drug,CDMO
300364,Chinese Online,1,data_element_fintech_ai_app,digital content and data
300390,Canmax,1,solid_state_battery_materials,lithium chemical
300394,TFC Communication,1,cpo_optical_module_datacenter,optical passive component
300418,Kunlun Tech,1,data_element_fintech_ai_app,AI application
300476,Victory Giant,1,advanced_packaging_chiplet_pcb,AI server PCB
300482,Wondfo Biotech,1,medical_device_ivd_imaging,IVD
300491,Tonghe Technology,1,uhv_smart_grid_power_equipment,charging module
300502,Eoptolink,1,cpo_optical_module_datacenter,high-speed optical module
300567,Jingce Electronic,1,semiconductor_equipment_materials,inspection equipment
300570,T&S Communications,1,cpo_optical_module_datacenter,optical connector
300595,Opm Biosciences,1,medical_device_ivd_imaging,bioprocess equipment
